Project Title & Link	Niche	Tech Stack	Detailed Description	The Problem	The Solution	Core Features
Medaan - medaan.ca	FoodTech / E-commerce	TALL Stack (Tailwind CSS, Laravel, MySQL, HTML, PHP)	Architected and engineered a comprehensive full-stack food delivery and brand experience platform tailored for the Canadian market. Developed a secure, session-based authentication system utilizing Laravel Breeze. The platform features an immersive frontend with a dynamic hero section and a sophisticated custom admin portal for managing categories, dishes, deals, and discounts.	The client required a centralized digital hub to drive online sales, manage brand presence, and facilitate local expansion in Calgary without relying on disjointed third-party platforms.	Developed a custom-built, scalable e-commerce solution with a proprietary admin panel. Successfully integrated the Deliverect API to automate direct order fulfillment, significantly streamlining restaurant operations and delivery logistics.	"• Secure authentication via Laravel Breeze
• Custom admin dashboard
• Deliverect API integration
• Dynamic promotional engine"
SaaS Trucking Management & Dispatch System - tms.techjointsolution.com	Logistics / SaaS	TALL Stack (Tailwind CSS, Laravel, MySQL, PHP, HTML), QuickBooks API	Engineered a multi-tenant SaaS platform designed to optimize logistics and financial operations for Canadian trucking enterprises. The system delivers comprehensive carrier and order management capabilities, empowering dispatchers to architect complex trip sequences and efficiently coordinate multi-stop routes.	A logistics company lacked a unified, custom solution tailored to their specific operational workflows, resulting in inefficient dispatching, manual financial tracking, and disjointed communication.	Architected a centralized, role-based dispatch and management system. Integrated the QuickBooks API to achieve seamless financial synchronization and automated invoicing, drastically reducing manual accounting errors.	"• Multi-tenant architecture
• Advanced trip sequencing
• QuickBooks API integration
• Granular RBAC
• Digital receipt management"
ANR Inventory - anrinventory.com	ERP / Supply Chain Management	Laravel, PHP, MySQL, Bootstrap CSS, HTML, Barcode APIs, Payment Gateways	Developed a comprehensive Enterprise Resource Planning (ERP) solution tailored for US-based businesses to streamline product, customer, and order management lifecycles. Engineered the core engine with an advanced inventory module that supports barcode-driven product entry and the dynamic creation of custom product bundles.	US-based stakeholders lacked a centralized system to manage complex inventory structures, leading to frequent manual entry errors, inefficient order tracking, and a critical lack of real-time visibility into sales and stock levels.	Engineered a custom, highly scalable ERP system utilizing Laravel. Implemented automated barcode scanning to ensure inventory accuracy, a multi-tenant customer CRM, and automated end-to-end order tracking from purchase order to final delivery.	"• Barcode-driven inventory management
• Custom product bundling
• Multi-tenant CRM
• Real-time analytics dashboard"
Hot Air Balloon & Tour Booking Website - balloon.lumenialab.com	Travel & Tourism / E-commerce	Laravel, PHP, MySQL, Bootstrap CSS, HTML	Architected a high-conversion booking platform for a premier Dubai-based adventure services company. Engineered a comprehensive tour browsing engine allowing travelers to explore specialized packages, awards, and detailed tour guide profiles.	The client required a streamlined, high-converting online booking flow for travelers, coupled with a dynamic backend capable of frequently updating seasonal tour packages, blog content, and adventure services.	Delivered a full-stack e-commerce solution featuring a highly secure booking flow and a robust, custom-built CMS. Implemented an intuitive user interface to showcase premium experiences and provided administrators with real-time control.	"• High-conversion booking engine
• Custom CMS for dynamic updates
• Advanced tour browsing
• Dynamic homepage controls"
Bali Jewels - balijewels.online	E-commerce / Retail	Laravel, PHP, MySQL, Bootstrap CSS, HTML, Square API	Engineered a specialized retail e-commerce solution explicitly designed for the Canadian jewelry market. Developed a sophisticated, real-time inventory management system capable of handling complex product variations, including multi-dimensional attributes like sizes and colors.	The business needed a scalable, professional online storefront capable of managing complex jewelry inventory with multiple variations, alongside a secure and seamless checkout experience.	Architected a robust e-commerce platform with an advanced variation-handling inventory system. Integrated the Square payment gateway for secure transactions and built a dynamic discount engine to drive promotional sales.	"• Complex product variation management
• Real-time inventory synchronization
• Flexible discount engine
• Secure payment processing via Square API"
CareerOS - careeros.lumenialab.com	AI-SaaS / HR Tech	Laravel, PHP, MySQL, Bootstrap CSS, OpenAI API, Gemini API	Architected an innovative platform that automates the job application lifecycle utilizing advanced Artificial Intelligence. Engineered functionality allowing users to upload resumes for intelligent AI parsing or generate professional resumes via dynamic built-in templates.	Job seekers faced a highly manual, time-consuming application process and struggled to effectively tailor their resumes to specific job descriptions, resulting in lower success rates.	Developed a high-efficiency automation tool integrating OpenAI and Gemini APIs to parse, analyze, and optimize resumes against target job descriptions, drastically reducing manual effort and increasing application efficacy.	"• AI-driven resume parsing and generation
• Automated skill gap analysis
• Integration with OpenAI and Gemini
• End-to-end application tracking workflow"
Accounting & Project Management System - doc.airideal.com	Enterprise Software / FinTech	Laravel, PHP, MySQL, Bootstrap CSS, HTML	Engineered a comprehensive web-based enterprise system to centralize accounting, document management, and project tracking. Developed a sophisticated multi-tier approval workflow where staff initiate records and managers review/approve them digitally.	The organization suffered from slow, paper-based business workflows, decentralized project tracking, and inefficient, manual approval processes that caused significant operational bottlenecks.	Architected a centralized platform that digitizes and automates the entire document lifecycle. Implemented dynamic PDF generation, digital signatures, and phase-wise billing to accelerate approvals and enforce strict organizational compliance.	"• Multi-tier, role-based approval workflows
• Automated digital signature appending
• Phase-wise project billing
• Strict RBAC mirroring corporate hierarchy"
Mobile Valeting London - splashanddrip.co.uk	Automotive Services / E-commerce	Laravel, PHP, MySQL, Bootstrap CSS, HTML	Developed a dynamic service booking platform for Mobile Valeting London, providing a seamless digital solution for premium mobile car wash and maintenance services. Engineered a comprehensive service catalog encompassing washing, alloy wheel maintenance, and interior detailing.	The business required a robust digital presence to capture mobile bookings and a reliable system to manage recurring service subscriptions securely.	Built a user-friendly booking interface and integrated a 3D-secure payment gateway to handle complex subscription models, ensuring reliable recurring revenue and streamlined appointment scheduling.	"• Dynamic service catalog and booking engine
• 3D-secure payment gateway integration
• Automated recurring subscription management"
Ecommerce Dashboard (Hakkidd) - hakidd.com	E-commerce / Data Analytics	Laravel, PHP, MySQL, Bootstrap CSS, Mixpanel API, ShipStation API	Architected and optimized a high-performance administrative dashboard for a massive e-commerce operation cataloging over 50,000 products. Engineered highly dynamic, data-driven interfaces to allow administrators to efficiently manage vast inventories.	Managing an inventory of 50,000+ products was creating significant administrative overhead, while the lack of deep analytics and automated shipping was bottlenecking growth and fulfillment speed.	Developed a highly dynamic, scalable admin dashboard capable of handling massive datasets. Integrated Mixpanel to drive data-backed decisions and ShipStation to fully automate the fulfillment pipeline.	"• High-performance dashboard optimized for 50k+ products
• Mixpanel integration for behavioral analytics
• ShipStation integration for automated order fulfillment"
My Moving Journey - mymovingjourney.com	Travel & Transportation	Web Technologies (HTML, CSS, Backend Framework)	Developed a digital platform for a nationwide travel and transportation company facilitating journeys across the USA. Engineered the site to effectively showcase travel services, manage customer inquiries, and provide a seamless informational hub for prospective travelers.	The company needed a professional online presence to attract and inform customers about their nationwide travel services.	Delivered a clean, accessible website that highlights the company offerings and streamlines the customer inquiry process.	"• Informational service catalog
• Customer inquiry management
• Nationwide service coverage mapping"
